SID,trial,step,instanceOnset,difficultyEstOnset,performanceEstOnset,decisionStartOnset,stepTime
102,0,1,1573673999.5383039,1573674009.5383039,1573674016.4103038,1573674022.5613039,1573674042.5913036
102,0,2,1573673999.5383039,1573674009.5383039,1573674016.4103038,1573674022.5613039,1573674043.0523038
102,0,3,1573673999.5383039,1573674009.5383039,1573674016.4103038,1573674022.5613039,1573674048.2373037
102,0,4,1573673999.5383039,1573674009.5383039,1573674016.4103038,1573674022.5613039,1573674049.6403039
102,0,5,1573673999.5383039,1573674009.5383039,1573674016.4103038,1573674022.5613039,1573674084.9593036
102,0,6,1573673999.5383039,1573674009.5383039,1573674016.4103038,1573674022.5613039,1573674102.8393037
102,0,7,1573673999.5383039,1573674009.5383039,1573674016.4103038,1573674022.5613039,-1
102,1,1,1573674104.6673036,1573674114.6673036,1573674118.1643038,1573674123.892304,1573674129.0663037
102,1,2,1573674104.6673036,1573674114.6673036,1573674118.1643038,1573674123.892304,1573674133.3983037
102,1,3,1573674104.6673036,1573674114.6673036,1573674118.1643038,1573674123.892304,1573674136.296304
102,1,4,1573674104.6673036,1573674114.6673036,1573674118.1643038,1573674123.892304,1573674139.5073037
102,1,5,1573674104.6673036,1573674114.6673036,1573674118.1643038,1573674123.892304,-1
102,2,1,1573674147.784304,1573674157.784304,1573674159.3213038,1573674163.0853038,1573674167.9953036
102,2,2,1573674147.784304,1573674157.784304,1573674159.3213038,1573674163.0853038,1573674169.600304
102,2,3,1573674147.784304,1573674157.784304,1573674159.3213038,1573674163.0853038,1573674170.6713037
102,2,4,1573674147.784304,1573674157.784304,1573674159.3213038,1573674163.0853038,1573674171.1573038
102,2,5,1573674147.784304,1573674157.784304,1573674159.3213038,1573674163.0853038,1573674230.8383038
102,2,6,1573674147.784304,1573674157.784304,1573674159.3213038,1573674163.0853038,1573674238.520304
102,2,7,1573674147.784304,1573674157.784304,1573674159.3213038,1573674163.0853038,-1
